time,age,gender,faculty,tiktok_hours,platforms,frequency,anxiety,high_self_esteem,jealousy,anxiety_after,comparison,negative_mood,unrealistic,unhealthy,pressure,self_esteem_awareness,confidence,positive_mood
2023/09/28 12:52:56 PM GMT+8,20,Female,Business,1.5,Instagram;Tiktok/ Douyin;YouTube,3,3,4,3,2,2,2,4,3,4,2,2,3
2023/09/28 1:04:30 PM GMT+8,20,Female,CHS,3,Instagram;Tiktok/ Douyin;YouTube,5,4,3,7,7,7,5,5,4,5,5,2,4
2023/09/28 1:04:58 PM GMT+8,20,Female,Business,2,Instagram;Tiktok/ Douyin;YouTube,3,3,4,5,5,5,5,5,5,5,3,3,3
2023/09/28 1:08:55 PM GMT+8,22,Female,Business,0,Instagram;Tumblr;YouTube,1,2,2,2,1,3,1,4,5,3,1,1,3
2023/09/28 1:45:00 PM GMT+8,19,Female,Business,1.5,Instagram;Tiktok/ Douyin;YouTube,2,3,3,6,5,6,5,4,4,2,4,2,2
2023/09/28 2:36:10 PM GMT+8,21,Female,CHS,1,Instagram;YouTube;Xiao Hong Shu,1,2,4,1,1,1,1,4,4,1,3,2,2
2023/09/28 2:47:33 PM GMT+8,30,Female,CHS,2.5,Instagram;Tiktok/ Douyin;YouTube,5,1,5,1,1,1,1,1,1,1,1,1,1
2023/09/28 3:52:44 PM GMT+8,21,Female,CDE,4,Instagram;Tiktok/ Douyin;YouTube,4,3,2,3,3,3,2,4,4,3,3,3,3
2023/09/28 5:57:59 PM GMT+8,23,Male,CHS,1,Instagram;Tiktok/ Douyin,2,2,4,5,5,5,5,3,4,3,3,2,3
2023/09/28 6:19:23 PM GMT+8,19,Female,CHS,1,Instagram;Tiktok/ Douyin,5,4,3,4,6,6,2,5,5,4,3,2,2
2023/09/28 8:24:22 PM GMT+8,19,Female,Business,5,Instagram;Tiktok/ Douyin;Tumblr;YouTube,3,2,1,6,4,5,5,4,2,3,3,2,2
2023/09/29 1:30:09 AM GMT+8,19,Female,Business,2,Instagram;Tiktok/ Douyin;YouTube,5,3,4,2,4,3,3,4,4,4,4,3,4
2023/10/01 12:40:15 PM GMT+8,21,Female,CHS,1,Instagram;Tiktok/ Douyin;YouTube,4,2,4,6,6,5,7,4,3,2,3,3,2
2023/10/01 4:27:21 PM GMT+8,22,Male,CHS,1,Instagram;Tiktok/ Douyin;YouTube,1,4,3,1,2,2,2,5,5,4,4,2,2
